# Time[s],V[m/s],free_surface_elevation[m]
0.100,6.949,-0.457
0.200,6.843,-0.183
0.300,6.734,0.088
0.400,6.626,0.352
0.500,6.524,0.603
0.600,6.433,0.838
0.700,6.358,1.054
0.800,6.302,1.251
0.900,6.268,1.427
1.000,6.259,1.583
1.100,6.274,1.720
1.200,6.313,1.840
1.300,6.374,1.944
1.400,6.454,2.035
1.500,6.548,2.116
1.600,6.652,2.188
1.700,6.760,2.253
1.800,6.868,2.313
1.900,6.970,2.368
2.000,7.063,2.418
2.100,7.144,2.464
2.200,7.212,2.503
2.300,7.265,2.535
2.400,7.305,2.557
2.500,7.334,2.569
2.600,7.356,2.567
2.700,7.373,2.552
2.800,7.391,2.520
2.900,7.414,2.470
3.000,7.444,2.403
3.100,7.487,2.318
3.200,7.542,2.215
3.300,7.611,2.095
3.400,7.693,1.959
3.500,7.786,1.810
3.600,7.885,1.649
3.700,7.986,1.478
3.800,8.083,1.301
3.900,8.170,1.119
4.000,8.242,0.936
4.100,8.292,0.753
4.200,8.316,0.573
4.300,8.311,0.397
4.400,8.276,0.228
4.500,8.212,0.066
4.600,8.121,-0.087
4.700,8.008,-0.229
4.800,7.879,-0.362
4.900,7.740,-0.483
5.000,7.601,-0.594
5.100,7.470,-0.693
5.200,7.355,-0.782
5.300,7.263,-0.860
5.400,7.200,-0.929
5.500,7.171,-0.988
5.600,7.177,-1.039
5.700,7.218,-1.082
5.800,7.292,-1.118
5.900,7.394,-1.148
6.000,7.517,-1.173
6.100,7.655,-1.194
6.200,7.798,-1.211
6.300,7.938,-1.225
6.400,8.066,-1.237
6.500,8.175,-1.247
6.600,8.259,-1.255
6.700,8.313,-1.260
6.800,8.337,-1.264
6.900,8.330,-1.265
7.000,8.295,-1.263
7.100,8.236,-1.257
7.200,8.160,-1.248
7.300,8.073,-1.233
7.400,7.983,-1.213
7.500,7.899,-1.188
7.600,7.826,-1.157
7.700,7.772,-1.120
7.800,7.741,-1.078
7.900,7.735,-1.031
8.000,7.755,-0.980
8.100,7.800,-0.928
8.200,7.866,-0.874
8.300,7.949,-0.821
8.400,8.042,-0.770
8.500,8.140,-0.723
8.600,8.236,-0.682
8.700,8.323,-0.648
8.800,8.395,-0.623
8.900,8.450,-0.607
9.000,8.484,-0.601
9.100,8.496,-0.605
9.200,8.487,-0.619
9.300,8.460,-0.643
9.400,8.419,-0.675
9.500,8.367,-0.715
9.600,8.312,-0.761
9.700,8.258,-0.811
9.800,8.209,-0.862
9.900,8.172,-0.914
10.000,8.147,-0.964
10.100,8.138,-1.010
10.200,8.145,-1.050
10.300,8.165,-1.083
10.400,8.196,-1.105
10.500,8.235,-1.117
10.600,8.276,-1.117
10.700,8.314,-1.104
10.800,8.344,-1.077
10.900,8.361,-1.036
