# Time[s],V[m/s],free_surface_elevation[m]
0.100,8.370,-1.317
0.200,8.409,-1.267
0.300,8.453,-1.214
0.400,8.495,-1.154
0.500,8.530,-1.087
0.600,8.554,-1.012
0.700,8.564,-0.925
0.800,8.557,-0.825
0.900,8.532,-0.712
1.000,8.491,-0.584
1.100,8.436,-0.441
1.200,8.371,-0.284
1.300,8.301,-0.114
1.400,8.232,0.069
1.500,8.169,0.262
1.600,8.119,0.463
1.700,8.087,0.671
1.800,8.078,0.881
1.900,8.092,1.093
2.000,8.133,1.303
2.100,8.199,1.509
2.200,8.287,1.708
2.300,8.393,1.898
2.400,8.512,2.077
2.500,8.638,2.243
2.600,8.762,2.394
2.700,8.879,2.527
2.800,8.981,2.643
2.900,9.063,2.738
3.000,9.121,2.812
3.100,9.153,2.863
3.200,9.158,2.891
3.300,9.138,2.895
3.400,9.094,2.874
3.500,9.033,2.829
3.600,8.959,2.759
3.700,8.879,2.667
3.800,8.800,2.552
3.900,8.728,2.418
4.000,8.669,2.265
4.100,8.627,2.097
4.200,8.607,1.916
4.300,8.608,1.724
4.400,8.633,1.525
4.500,8.678,1.319
4.600,8.742,1.111
4.700,8.821,0.901
4.800,8.909,0.690
4.900,9.003,0.481
5.000,9.098,0.274
5.100,9.188,0.068
5.200,9.272,-0.136
5.300,9.347,-0.337
5.400,9.412,-0.536
5.500,9.467,-0.733
5.600,9.513,-0.928
5.700,9.552,-1.120
5.800,9.588,-1.307
5.900,9.624,-1.489
6.000,9.662,-1.664
6.100,9.707,-1.829
6.200,9.759,-1.982
6.300,9.821,-2.121
6.400,9.893,-2.242
6.500,9.973,-2.345
6.600,10.061,-2.426
6.700,10.152,-2.485
6.800,10.244,-2.521
6.900,10.333,-2.534
7.000,10.414,-2.526
7.100,10.484,-2.496
7.200,10.539,-2.449
7.300,10.577,-2.387
7.400,10.597,-2.313
7.500,10.598,-2.230
7.600,10.582,-2.143
7.700,10.550,-2.054
7.800,10.506,-1.965
7.900,10.453,-1.881
8.000,10.396,-1.801
8.100,10.340,-1.726
8.200,10.287,-1.656
8.300,10.243,-1.591
8.400,10.209,-1.529
8.500,10.187,-1.467
8.600,10.177,-1.403
8.700,10.180,-1.336
8.800,10.192,-1.262
8.900,10.212,-1.179
9.000,10.236,-1.088
9.100,10.261,-0.986
9.200,10.282,-0.873
9.300,10.296,-0.751
9.400,10.300,-0.621
9.500,10.292,-0.486
9.600,10.271,-0.347
9.700,10.237,-0.208
9.800,10.190,-0.072
9.900,10.132,0.059
10.000,10.067,0.182
10.100,9.998,0.294
10.200,9.928,0.395
10.300,9.862,0.483
10.400,9.803,0.560
10.500,9.754,0.625
10.600,9.718,0.681
10.700,9.695,0.729
10.800,9.686,0.772
10.900,9.690,0.813
11.000,9.704,0.853
11.100,9.727,0.896
11.200,9.754,0.942
11.300,9.782,0.994
11.400,9.807,1.052
11.500,9.825,1.115
11.600,9.832,1.184
11.700,9.828,1.256
11.800,9.809,1.330
11.900,9.776,1.403
12.000,9.730,1.472
12.100,9.673,1.536
12.200,9.607,1.590
12.300,9.537,1.633
12.400,9.467,1.662
12.500,9.401,1.677
12.600,9.343,1.675
12.700,9.299,1.658
12.800,9.272,1.626
12.900,9.264,1.578
13.000,9.276,1.517
13.100,9.310,1.445
13.200,9.364,1.362
13.300,9.436,1.273
13.400,9.524,1.178
13.500,9.622,1.080
13.600,9.726,0.981
13.700,9.832,0.883
13.800,9.933,0.787
13.900,10.024,0.695
14.000,10.101,0.608
14.100,10.160,0.525
14.200,10.198,0.449
14.300,10.212,0.379
14.400,10.202,0.315
14.500,10.168,0.258
14.600,10.112,0.207
14.700,10.035,0.163
14.800,9.942,0.126
14.900,9.836,0.096
15.000,9.722,0.072
15.100,9.604,0.055
15.200,9.488,0.045
15.300,9.376,0.041
15.400,9.275,0.044
15.500,9.186,0.052
15.600,9.113,0.065
15.700,9.058,0.084
15.800,9.021,0.106
15.900,9.004,0.132
16.000,9.004,0.161
16.100,9.022,0.191
16.200,9.055,0.223
16.300,9.100,0.255
16.400,9.155,0.286
16.500,9.217,0.316
16.600,9.282,0.343
16.700,9.347,0.367
16.800,9.408,0.387
16.900,9.464,0.403
17.000,9.510,0.412
17.100,9.544,0.415
17.200,9.565,0.410
17.300,9.571,0.397
17.400,9.561,0.373
17.500,9.534,0.339
17.600,9.491,0.294
17.700,9.432,0.237
17.800,9.359,0.167
17.900,9.273,0.084
18.000,9.176,-0.011
18.100,9.070,-0.118
18.200,8.959,-0.235
18.300,8.845,-0.362
18.400,8.731,-0.497
18.500,8.621,-0.637
18.600,8.518,-0.779
18.700,8.423,-0.922
18.800,8.340,-1.062
18.900,8.270,-1.197
19.000,8.216,-1.323
19.100,8.176,-1.438
19.200,8.153,-1.540
19.300,8.145,-1.628
19.400,8.150,-1.699
19.500,8.169,-1.754
19.600,8.198,-1.791
19.700,8.235,-1.811
19.800,8.277,-1.814
19.900,8.322,-1.801
20.000,8.367,-1.774
20.100,8.410,-1.734
20.200,8.449,-1.682
20.300,8.482,-1.620
20.400,8.509,-1.549
20.500,8.530,-1.469
20.600,8.543,-1.383
20.700,8.552,-1.290
20.800,8.556,-1.192
20.900,8.558,-1.088
21.000,8.559,-0.979
21.100,8.561,-0.867
21.200,8.566,-0.750
21.300,8.576,-0.630
21.400,8.591,-0.507
21.500,8.613,-0.383
21.600,8.642,-0.259
21.700,8.677,-0.136
21.800,8.716,-0.017
21.900,8.760,0.097
22.000,8.806,0.203
22.100,8.852,0.301
22.200,8.895,0.387
22.300,8.935,0.460
22.400,8.969,0.519
22.500,8.995,0.564
22.600,9.014,0.593
22.700,9.024,0.606
22.800,9.026,0.606
22.900,9.020,0.592
23.000,9.009,0.566
23.100,8.993,0.530
23.200,8.975,0.486
23.300,8.957,0.436
23.400,8.942,0.382
23.500,8.931,0.326
23.600,8.925,0.271
23.700,8.927,0.216
23.800,8.937,0.164
23.900,8.955,0.114
24.000,8.981,0.067
24.100,9.013,0.024
24.200,9.051,-0.017
24.300,9.092,-0.056
24.400,9.136,-0.093
24.500,9.179,-0.128
24.600,9.221,-0.162
24.700,9.260,-0.195
24.800,9.294,-0.226
24.900,9.324,-0.254
25.000,9.349,-0.280
25.100,9.371,-0.300
